O,C,H,L,V
111.64892006212945,111.2559270706588,111.81372139068006,111.0974609067423,878572
111.24324706938349,111.61088973031062,111.64892006212945,110.82337557025146,1183909
111.61722489494474,111.64258489749534,111.8897917263248,111.23691190474938,1301568
111.63624006085415,112.13065371851307,112.18136405160719,111.53482906667297,1637680
112.11798338924484,111.63624006085415,112.1940440528825,111.33198773429645,2014073
112.1940440528825,112.81522870727319,113.55051402912746,112.18136405160719,2616112
112.8279087085485,112.06727305615071,112.89129904291794,111.57919456312591,1238426
112.06092821950952,112.25743438725193,112.54267154790021,112.02924272433188,865252
112.26376955188604,112.09262338669424,112.30813504833898,111.8897917263248,878210
112.09896822333543,112.25743438725193,112.33349505088958,111.92782205814362,755870
112.25743438725193,112.60605221026258,112.81522870727319,112.13065371851307,863467
112.61239704690375,112.94199970400499,112.94199970400499,112.24475438597662,1668383
111.66160006340475,111.24324706938349,112.56168671380962,110.6410775809022,2262363
111.23056706810819,111.04040573700698,111.39334694718013,110.71080307990574,1034111
111.04675057364817,110.34759987022603,111.15450640447054,110.17201425378681,1006799
110.33048041770331,109.9945329239609,110.39387075207274,109.63323509967496,906707
110.00086808859501,108.99302560736777,110.06425842296444,108.72046844799478,1885189
108.99937044400896,109.00570560864307,113.04976520683444,108.83455944345127,1430273
109.01204077327718,109.1895221031031,109.28460760465724,108.78384911035714,1950244
107.90912246250286,108.5683374487124,109.96030369092254,107.48607854505023,2841384
108.54298711816887,108.32746578451705,108.65707811362535,107.90912246250286,908500
108.34014578579234,108.31466971915685,108.72046844799478,108.24506995624527,742736
108.31479545524883,108.57467261334651,108.79652911163244,108.07392379105347,819964
108.5556574474371,108.60750907736607,108.92330010836423,108.20069478778527,639381
108.60636778053123,108.7584987798136,110.19102941969624,108.17534445724174,1447295
108.73313877726301,108.68243811617596,108.8852697765454,108.39085611888648,1469728
108.94866011091483,108.30211545397353,109.26559243874783,107.83305212685814,1856822
108.31479545524883,107.33863846919921,108.64439811235005,107.33863846919921,1174526
107.33863846919921,108.47959678379944,108.7268036126289,107.26891297019567,815990
108.49861194970885,108.66975811490066,108.93420046033773,108.2640851221547,528056
108.68877328081007,108.5810174499877,108.96133044018305,108.40353612016177,530491
108.60636778053123,108.4225512860712,108.79652911163244,108.31479545524883,1123384
108.4288864507053,108.51762711561827,108.8852697765454,108.39085611888648,1720105
108.16558540210308,108.4098712847959,109.53814959812081,107.782341793764,2209201
108.40353612016177,108.7394836139042,109.11346143946544,108.19435962315116,1059002
108.7584987798136,108.8725897752701,108.89211755755449,108.4415664519806,759506
108.8852697765454,108.85991944600187,109.30362277056666,108.50494711434297,712990
108.8979497778207,109.01838560991837,109.24023243619723,108.73313877726301,1132687
109.01838560991837,109.53497717980022,109.58252476658083,108.93598010963953,1183334
109.53814959812081,109.60787509712435,109.79803642822557,109.27864964829905,1411254
109.65858543021848,108.96767527682424,109.97551775805148,108.69510844544418,1661527
108.97401044145835,108.9296449450054,109.24023243619723,108.53030711689357,815508
108.94231527427364,109.64590542894318,109.74732609513144,108.910629779096,660648
109.6712654314938,109.81071642950087,110.1529990878774,109.64590542894318,606650
109.8233867587691,109.93761316232464,110.02622809114561,109.73464609385614,602977
109.94382259086677,110.10863359142446,110.57135208189867,109.93748742623266,1016982
110.11496875605857,110.25441975406567,110.3051300871598,109.95168593261873,1213465
110.07693842423974,108.37817611761118,110.53332175007984,108.2514051208794,1867095
108.34014578579234,108.16899962060054,108.66975811490066,107.9344727930464,1120067
108.17534445724174,107.37666880101804,108.35916095170177,106.94577121382054,1368832
107.38934880229334,106.78350395112356,107.42737913411217,106.64772831580497,1288465
106.80619447972147,106.41320148825082,106.9709958082721,106.13429949223664,1507718
106.41953665288493,106.89493514463443,106.91395031054384,106.32446082333786,1288829
106.88859998000032,107.24989780428626,107.27525780683686,106.17232982405547,2091742
106.66674348171439,107.40202880356865,107.4717543025722,104.54963785307163,6103791
107.41470880484395,106.90761514590973,107.68093079958282,106.76181931126146,1259287
106.92028547517796,106.66699495389834,107.08509647573564,106.45123182006964,942854
106.66674348171439,106.6857586476238,106.75548414662734,106.31178082206256,777703
106.70477381353321,106.9900109741815,107.10411164164506,106.5272924837073,1311653
106.99635581082269,107.42737913411217,107.72529629603576,106.90761514590973,1547604
