O,C,H,L,V
316.87377847807915,317.3583131765495,317.4701201269242,316.3147437262055,1506066
323.88065067633414,320.43499477129654,328.55808818953113,318.91044501434305,8184076
320.4703965142305,318.47641111543163,321.7748583271605,318.44996643998695,2216314
318.49506456391737,315.97929443994644,319.0261760133322,315.6252201403365,1894914
315.97929443994644,316.87377847807915,317.21855448858105,315.45750971477446,1117370
316.8365284513775,318.1968937394948,318.38325761354264,316.44537473587525,1071153
318.2062204637377,316.35199375290716,318.2062204637377,315.9420159781099,1005633
316.3706472013929,315.0475319399772,316.42655067658023,314.7493611155547,1776770
307.48162498984857,311.24595345156206,312.02863053932003,306.97846527802744,5409974
311.24595345156206,310.68689026455354,312.9976715011258,309.6433208142096,1777020
310.7241687263901,310.5378048523423,311.4509423389607,310.127827077545,884424
310.5564298656931,311.1434447902953,311.1527715145382,309.8110312397717,793552
311.1527715145382,311.171396527889,311.516144103256,310.3141909515928,1137090
311.162098238781,312.06590900115657,312.5131368026555,311.07821459086506,1304409
312.0845340145074,312.9603930392893,313.23991041522606,312.05658227691373,1923062
311.84226666527223,313.00696979023377,315.06618538846294,310.59370832752967,2497311
313.0144197955741,313.50080277781205,313.81759861558544,312.7367791385398,1106965
313.5194562262978,312.5224635268983,314.11576944000797,312.32680136374256,1171609
312.5317902511412,311.32048194010025,312.6063187396794,311.21800171396836,715998
311.32048194010025,311.67455623971017,311.7304597148975,310.87325413860134,691691
311.72113299065467,310.29553750310714,311.82364165192143,310.29553750310714,968110
310.29553750310714,311.4881923656623,311.58137430268624,310.2582874764055,1646961
311.432288890475,309.51286041534917,311.7118347015467,309.0469791653645,1936336
309.48490867775547,309.0469791653645,309.7551277645843,307.92888122648236,1114523
309.0469791653645,308.7860868027785,309.1960645775758,308.05931319020794,903363
308.73951005183403,309.8296562531225,309.93216491438926,308.7301833275912,726935
309.8110312397717,310.69712691311275,310.74279373974093,309.6153690766159,817476
310.6962169887964,311.3950388637733,311.50684581414805,310.40737288861675,853908
311.4043371528813,311.9913520774835,312.19634096488215,311.2086749897255,1207986
312.2336194267187,314.0132892138761,314.6003041384783,311.3577604019368,2966855
314.00396248963324,314.9543500029533,315.4202312529379,313.5753597014852,1138652
314.99162846478987,315.7650072634398,315.7650072634398,314.89844652776594,1202246
315.7743055525478,316.5756360887915,316.5756360887915,315.69977706400965,764370
316.59426110214235,316.9483354017522,317.46079340268136,316.25884025101817,1248933
316.966960415103,316.7433465143536,317.13225385419975,316.42655067658023,1128771
316.77129825194726,317.43284166508766,317.86147288837066,316.6501645773297,1822095
318.66277498947943,320.13494722797145,320.4895902302791,318.2900756765187,2393006
320.1536006764572,318.37393088929974,320.2281291649954,318.1316635400646,1401536
318.3646041650569,317.9639531145025,318.42050764024424,317.56330206394813,979826
317.9732798387454,316.3892722147437,318.001231576339,316.2975973398688,884857
316.36132047715,317.3583131765495,317.3583131765495,316.25884025101817,1144835
317.3769381899003,317.52602360211154,317.5446486154624,316.9390086775094,1021633
317.5446486154624,317.06014235212695,318.0478083272835,316.8924319265649,1255300
316.18428332734504,315.01025347814067,316.33336873955636,313.8921555392585,1903454
315.01025347814067,314.991827510734,315.5134131899618,314.5536989523989,830606
315.006898132224,315.17799233883767,315.38298122623627,314.7493611155547,661512
315.17799233883767,315.29912601345524,315.71840207736045,314.805264590742,595248
315.29912601345524,315.21524236553927,315.95134270235275,315.01025347814067,935538
315.1686656145948,315.3550294886426,315.69045033976676,314.89844652776594,766604
315.34570276439973,314.973003451439,315.4202312529379,314.7866395773912,1214952
315.6065951269857,316.3147437262055,316.9297103884014,314.6798656458914,1654229
316.3147437262055,318.0850867891201,318.3459791517061,316.1283798521577,1030553
318.0757600648772,318.3646041650569,318.68140000283023,317.9732798387454,1057728
318.3646041650569,318.21551875284564,318.42983436448714,317.69373402767366,939981
318.21551875284564,317.4421683893305,318.6254965276429,317.29308297711924,1031352
317.4514951135734,317.33985877400795,318.001231576339,316.6874430391662,1092399
317.3583131765495,317.7682909513467,318.11303852671375,317.3583131765495,1098288
321.1039881897772,320.2374558892382,321.40215901419975,318.48573783967447,1500932
320.2467826134811,320.2281291649954,320.2840326401827,319.2311364655959,802336
320.1908791382937,319.66906597798686,320.2095041516446,318.98889755149565,763226
319.68734976971905,321.0480847145899,321.17854511345035,319.48514752553933,937931
321.0667097279407,321.95189547696543,321.96122220120833,320.9921812394025,907097
321.95189547696543,321.64815136610514,322.1813101452318,321.43943747603635,1015665
321.66305137678575,322.35254652751985,322.3711999760056,321.5180606239982,1192133
321.66305137678575,321.3089770771759,322.5016319397311,320.11632221462065,1482129
321.3276020905267,321.3928322899569,321.812136788997,320.93627776421516,810603
321.3648805523632,321.61647462584125,321.73666994100756,320.69401041497997,720874
321.6257729149492,321.73757986532394,321.89243760991724,320.90906534012856,666973
321.812136788997,321.0294597012391,321.8494152508336,320.65676038827837,636425
321.03875799034705,321.40215901419975,321.83076180234787,321.02963031204837,700171
321.40215901419975,321.0667097279407,321.6071479015984,320.7312888768165,1040949
320.9735562260517,321.3462555390124,321.79348334051133,320.172225689808,1088293
321.3089770771759,320.1536006764572,321.40215901419975,319.78090136349647,673284
320.1536006764572,319.79952637684727,320.4517715008797,319.72499788830913,484836
319.80885310109016,319.9672368024094,320.0231402775967,319.22183817648795,569572
319.9765635266522,319.911333327222,320.2281291649954,319.66906597798686,463626
319.92995834057285,321.40215901419975,321.8959920017781,319.78090136349647,735585
321.46738921363,321.8866652775352,322.09165416493386,320.84309582719123,894744
322.073029151583,324.53286736523165,324.54219408947455,322.073029151583,1708385
324.53286736523165,326.3591423384685,326.39639236517013,324.4769638900443,1373529
326.3593129492778,327.19772290141384,327.9058715006336,326.30323886328114,1189892
327.14181942622645,327.79423516106823,327.96177497582096,327.0672625025534,804147
327.80447180962744,328.65127012655506,328.8935374757902,327.80447180962744,898930
328.60469337561057,328.80968226300917,328.98558200741866,328.0269767401163,965335
328.80968226300917,328.48355970099294,329.3972374551742,328.40900277731987,1536556
328.35309930213253,329.75074305208636,332.2665131760573,328.1481104147339,2561605
329.7693965005721,329.37804373912564,329.9184534776485,328.4556079633993,1075571
329.38737046336854,328.9680659643284,329.4898506895004,328.2599173651086,816690
328.9494409509776,328.1294854013831,328.9680659643284,327.8779197630399,710225
328.1574371389768,328.5021847143438,328.9214892133839,327.4213368021633,831283
328.5021847143438,326.38709407606217,329.17305485172704,326.1727784644207,1586356
326.39639236517013,324.8869416648416,326.43367082700667,324.8869416648416,1547332
